scheme_name,sharpe,VaR_95,CVaR_95,max_drawdown
Axis_Bluechip,0.2645745198453925,5.765534835331377e-05,-0.00021304457334025176,-0.013923580128646473
HDFC_Top100_Direct,1.1087825474106898,-0.015080934050940674,-0.023178092944383822,-0.4026012761687717
ICICI_Bluechip,0.6249294133265623,-0.014551497090797871,-0.022615344742847765,-0.33509892369046657
Kotak_Bluechip,0.6840196921572974,-0.014228315299246624,-0.023831875493854276,-0.33429874666118753
Nippon_Large_Cap,0.5608033896545644,-0.01585795048946753,-0.0246380823175544,-0.3996075381332732
SBI_Bluechip,-0.6747927641514613,-0.0010248019945339635,-0.008408034937910527,-0.36651701755201316
