scheme,first_date,last_date,trading_days,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,beta,VaR_95_daily
Axis_Bluechip,2013-01-01,2026-07-24,3602,0.47559600414620573,26.196798065669693,0.018154737955149696,-0.013923580128646473,0.004140048797641126,5.765534835331377e-05
HDFC_Top100_Direct,2013-11-19,2026-07-24,3128,0.2479222357965536,0.15175426892781077,1.6337084785040858,-0.4026012761687717,1.0,-0.015080934050940674
ICICI_Bluechip,2013-01-03,2026-07-24,3344,0.1600103031272726,,,-1.0,0.7694950856075219,-0.014589156751915988
Kotak_Bluechip,2013-01-08,2026-07-24,3338,0.17151008749089525,0.15394600956334695,1.1140924534345977,-0.33429874666118753,0.7713329672733849,-0.014228315299246624
Nippon_Large_Cap,2013-01-03,2026-07-24,3335,0.15512725590246346,0.16653090587716685,0.9315223206489087,-0.3996075381332732,0.8379648777280247,-0.01585795048946753
SBI_Bluechip,2013-01-03,2026-07-24,3273,0.002622824172437088,0.08667653060361784,0.030259911814324657,-0.36651701755201316,0.013067374523542683,-0.0010248019945339635
